param	expect.	median	Q_0.05	Q_0.95	variance
M_NA_EU	0.9945174226537021	0.9901712377866109	0.2443188826243082	1.71333304643631	0.18499006049628705
M_BR_MA	0.7122726317450244	0.6548539139330387	0.08686000853776928	1.5635108033816019	0.21532028364663974
N_EU	3.596394023968949	3.3552523851394653	1.283875814328591	6.760912062905051	2.984785860617862
N_BR	2.1223304512177563	1.3665524497628212	0.39664209783077237	5.782490611076355	2.892871565189018
M_MA_BR	0.6586730525702856	0.6097985362013181	0.06024251133203505	1.3884012365341185	0.1730118021876135
M_MA_NA	0.65686653221023	0.6346670016646385	0.08168696761131286	1.362666308879852	0.1487619248477755
m	0.29958187168498773	0.29839588642120357	0.22337373892466225	0.3740848461786906	0.0011660080712216987
T2	0.5207730720665542	0.45898182392120357	0.0271755501627922	1.2433343410491944	0.10700938346067002
M_EU_BR	0.6076876866675923	0.5313308775424956	0.057788289255566	1.4195109099149703	0.15308931807759363
M_BR_EU	0.6835982638780971	0.6373918333223888	0.07357037663459773	1.4726410309473674	0.18071824696787728
S2	0.7865391176606512	0.7488973326981067	0.08308121860027308	1.676929511129856	0.2449957462693157
S1	0.667321308983698	0.548277486115694	0.04806740581989282	1.6961596310138702	0.23383603198944716
M_BR_NA	0.640611548333005	0.587036649386088	0.07602468132972713	1.431077516078949	0.16031233148611235
M_EU_MA	0.6821641750572982	0.6327329874038696	0.07225160400072728	1.4466291308403014	0.1832423921895838
M_NA_MA	0.8559956658754344	0.849965387582779	0.17169626951217648	1.5460394620895386	0.16351773386089163
M_EU_NA	0.5001105921325025	0.44249969534575934	0.0817682345708211	1.0916244983673096	0.0764372876206548
S3	1.0665632778262562	1.062368044257164	0.39040945097804064	1.8190970808267592	0.18166534152688424
T1	0.6904830391952653	0.710396502415339	0.04275648246208824	1.3888965864976246	0.07466150587137461
M_NA_BR	0.8762325426204508	0.8530721465746561	0.19719778746366498	1.5806476473808289	0.18276066702219923
M_MA_EU	0.708888341379169	0.6444080788642168	0.07762920260429373	1.5584928393363953	0.20626561263993878
N_NA	3.8592209608603216	3.5179311335086823	1.4306609109044075	7.444051504135132	2.6687070933162027
T3	0.14108080520018368	0.1340869132429361	0.06894006878137589	0.2282639786601066	0.003318384549456978
