param	expect.	median	Q_0.05	Q_0.95	variance
M_EU_BR	0.6645477354775886	0.6454043888619968	0.09078775594631829	1.3759960333506267	0.11578790055302088
M_EU_MA	0.6088848591847807	0.553613950808843	0.05946637392044064	1.3681899160146713	0.16379268091907925
M_MA_BR	0.6579691915697724	0.6020430430769921	0.0457307398319244	1.467572271823883	0.19584605937301294
T3	0.6943956240126784	0.6755381743113199	0.08736124088366821	1.3608789682388307	0.15980929880284528
M_NA_BR	0.7929837263731696	0.772830198208491	0.15591424206892648	1.5627099328570895	0.1579604167509507
M_MA_NA	0.6697743475162904	0.5885632357663578	0.07068135823522292	1.5106484591960907	0.2029198946669314
S3	0.8479151775443678	0.809190982580185	0.06576230078935622	1.7739964574575424	0.28983522762772806
M_EU_NA	0.6830013981090867	0.6318539180925914	0.0886926511923472	1.4680789947509767	0.1363220399072579
S1	1.2273897314841866	1.2222565300762656	0.5884896846488118	1.8388210088014603	0.1439317830464177
S2	0.8133178478082557	0.7286749146878719	0.06256902366876602	1.8205259293317795	0.29823559036874797
M_BR_MA	0.6198471546247158	0.5639506849149862	0.07343243658542625	1.3389123976230621	0.14192555831596887
N_NA	1.1008109842900213	0.9052017079666257	0.43912467720179715	2.3884164839982986	0.3098666334528842
m	0.32229214504983333	0.32649082819620767	0.22329069614410402	0.4050863424936931	0.001665350636295168
N_EU	3.25315592942795	3.120391583442688	1.0698721949011087	6.086190950870514	2.1234321043514246
T2	0.7959455442035225	0.8177670508623123	0.16774655332167943	1.3892469028631846	0.14108440035349631
T1	0.2512296467888788	0.1396455499033133	0.044252557555834446	0.9499796628952026	0.04287219328337374
N_BR	0.9008402143338795	0.6232968680560589	0.3107312470674515	2.641225834687551	0.4700877098898114
M_BR_EU	0.9672537589254389	0.9625481978058815	0.25609030077854794	1.7078052759170534	0.205153879108218
M_NA_EU	0.860965082431346	0.8512722566723824	0.16830857594807935	1.5984458446502685	0.14866206855772157
M_MA_EU	0.7300009131242431	0.6775549352169037	0.079104870557785	1.5634491125742593	0.20947268966812124
M_NA_MA	0.9745625216688139	0.955724424123764	0.22792906165122978	1.7301801190231785	0.20048837159046773
M_BR_NA	0.4999074478307703	0.42548778355121614	0.02757443388303118	1.234540730714798	0.1443315599869676
