param	expect.	median	Q_0.05	Q_0.95	variance
S1	1.255931177249809	1.2695171654224395	0.5982938146218657	1.8951395243406295	0.13999766420539664
M_NA_EU	0.9450646085384178	0.9492301026055979	0.22313861151536302	1.6187922358512878	0.15007741656342538
M_EU_BR	0.6925334255086286	0.646831300077231	0.09999220669269557	1.4305162827173867	0.12366581287894912
M_BR_EU	0.9054226878458689	0.9037166774272919	0.17991760969161982	1.625514014561971	0.198004747834538
m	0.31409991990198693	0.318382625579834	0.1978928612578999	0.4096776413917541	0.0019371853727703544
T3	0.6868279015861924	0.6698142608006794	0.09124917089939116	1.339974296092987	0.15168431665574575
M_BR_MA	0.5674804554537097	0.4927750383969396	0.04007308350669012	1.350571095943451	0.16484237530472842
N_NA	1.0805995326256312	0.8955222815275191	0.352159259468317	2.3039644464850424	0.4057081478119772
M_MA_BR	0.7775613398092808	0.7267087455838919	0.08479350606600436	1.596828050083584	0.22361953301243725
M_BR_NA	0.5463293337885016	0.4854027566810448	0.04495833317438756	1.26908012231191	0.13942571196225406
M_EU_MA	0.6487531754034392	0.5822971910238265	0.07528492871751168	1.4196745981772738	0.176253510155678
S3	0.8174932478077442	0.7695485204458237	0.05914654433727257	1.835124164819717	0.32567944340070015
M_EU_NA	0.6663165686717714	0.6220949359238148	0.0930276811122894	1.4791063716014226	0.13554579824939703
N_EU	3.0690771993831496	2.7832704424858092	1.0705033857375383	6.478885304927826	2.269811578658373
S2	0.7954333510383795	0.7254525311291217	0.05135844647884363	1.7435422748327256	0.286145536124682
T2	0.7310637453139974	0.7462440490722656	0.19209862551651896	1.3022093494733173	0.10859186512197812
M_MA_EU	0.7249670442852155	0.685600671172142	0.07990458607673638	1.5992008123481483	0.21180384617706738
T1	0.31739716628301623	0.15312841057777402	0.029867958029111154	1.2241233905156452	0.07408993189539818
M_NA_BR	0.7187357645258834	0.6992042362689972	0.10983386238416029	1.4275366893181434	0.13174082418526883
M_NA_MA	0.9130730252714795	0.9049018248915671	0.1935237050056457	1.6995379130045574	0.21004903033483535
N_BR	0.7778816211774762	0.5915870711207389	0.2808315863211949	1.896700493991375	0.419052422029052
M_MA_NA	0.6686198536211277	0.6350888088345528	0.08357686797777804	1.3274543821811675	0.15869826972765785
