param	expect.	median	Q_0.05	Q_0.95	variance
T2	0.6401515429501422	0.6028208057085672	0.21835244894027706	1.230757427215576	0.07560800771803712
S1	1.3278482725984888	1.3121002331376075	0.687434109672904	1.9357018172740936	0.14020366347213511
T1	0.09918944431624457	0.08815680593252176	0.02710457543532053	0.1889409146271646	0.0015278597570155582
M_BR_NA	0.44523869946088684	0.3574714901546637	0.03499159216880794	1.196639931563175	0.10942479144863673
M_EU_BR	0.8483012224659006	0.81673863530159	0.2929413417975108	1.557912270228068	0.12094324677891698
M_NA_EU	1.0943287403044588	1.1131307721137997	0.3459911048412323	1.7923465808232626	0.1920754641284079
M_BR_EU	1.0895306357691354	1.0802796602249145	0.32117064148187635	1.7956259409586588	0.18902777031831633
N_EU	4.221372286727536	3.984125077724457	1.5388349771499634	7.599410450458526	3.05150712772136
M_EU_NA	0.5338374489271649	0.4650531839579343	0.08302039598546375	1.1886398434638976	0.06952926363613943
N_BR	1.2696529137550376	0.9682770699728279	0.41797986030578616	3.078893446922302	0.7039798837628441
S2	0.8286918473509499	0.7805493846535683	0.06206663697957991	1.7686377465724945	0.28835428853102846
M_NA_BR	0.9529230349886209	0.9639295041561127	0.43442203104496	1.4213959202170372	0.07023671052063733
m	0.3180645879433546	0.31668562293052677	0.24879059294859565	0.3940251231193542	0.0011067528104832284
